(('회담', 'NNG'), 333)  Summit
(('랜드', 'NNG'), 3)
(('채용', 'NNG'), 3)
(('논란', 'NNG'), 3)
(('사진', 'NNG'), 3)
(('긍정적', 'NNG'), 3)
(('보고', 'NNG'), 3)
(('이슈', 'NNG'), 3)
(('걱정', 'NNG'), 3)
(('누구', 'NP'), 3)
(('물', 'NNG'), 3)
(('여운', 'NNG'), 3)
(('기', 'NNG'), 3)
(('이', 'NR'), 3)
(('순간', 'NNG'), 3)
(('서훈', 'NNG'), 3)
(('리', 'NNG'), 3)
(('관계', 'NNG'), 3)
(('해결', 'NNG'), 3)
(('여자', 'NNG'), 3)
(('쪽', 'NNG'), 3)
(('바리', 'NNG'), 3)
(('일정', 'NNG'), 3)
(('맛', 'NNG'), 3)
(('을', 'NNG'), 3)
(('미디어', 'NNG'), 3)
(('인사', 'NNG'), 3)
(('착각', 'NNG'), 3)
(('정도', 'NNG'), 3)
(('내가', 'NNG'), 3)
(('넘', 'NNB'), 3)
(('친구', 'NNG'), 3)
(('비디오', 'NNG'), 3)
(('재미', 'NNG'), 3)
(('ㅎ', 'NNG'), 3)
(('건강', 'NNG'), 3)
(('영화', 'NNG'), 3)
(('포함', 'NNG'), 3)
(('세금', 'NNG'), 3)
(('사실', 'NNG'), 3)
(('후', 'NNG'), 3)
(('찬사', 'NNG'), 3)
(('지원', 'NNG'), 3)
(('필요', 'NNG'), 3)
